Pavir.Aa02848.1	Chr03	70.234	299	86	3	122	418	101747152	101747449	7.41e-27	127
Pavir.Aa02848.1	Chr10	69.550	289	85	3	122	408	2138324	2138611	4.68e-23	114
Pavir.Aa02848.1	scaffold00288	68.478	276	87	0	143	418	15676	15401	2.42e-20	105
Pavir.Ab00639.1	Chr03	69.133	473	123	11	99	552	101746980	101747448	2.10e-38	167
Pavir.Ab00639.1	Chr10	71.197	309	86	3	237	543	2138304	2138611	6.87e-32	145
Pavir.Ab00639.1	scaffold00288	70.545	275	81	0	278	552	15676	15402	1.51e-27	131
Pavir.Ab00639.1	Chr06	68.485	165	52	0	829	993	36587342	36587506	1.85e-07	64.4
Pavir.Ab00639.1	Chr05	67.021	188	62	0	829	1016	38634583	38634770	2.25e-06	60.8
NM_001052790.2	Chr03	71.787	319	78	9	261	574	101747152	101747463	1.75e-30	140
NM_001052790.2	Chr03	69.271	192	59	0	848	1039	101747737	101747928	1.43e-12	80.6
NM_001052790.2	Chr10	69.716	317	88	6	261	574	2138324	2138635	1.64e-24	120
NM_001052790.2	scaffold00288	69.388	294	85	3	282	574	15676	15387	1.99e-23	116
NM_001052790.2	scaffold00288	67.526	194	60	2	848	1039	15117	14925	1.34e-06	60.8
NM_001052790.2	Chr05	69.484	213	65	0	830	1042	38634580	38634792	7.93e-16	91.5
NM_001052790.2	Chr05	67.841	227	64	5	847	1070	103185495	103185275	3.16e-08	66.2
NM_001052790.2	Chr06	69.014	213	66	0	830	1042	36587339	36587551	9.67e-15	87.8
NM_001052790.2	Chr06	69.082	207	57	3	834	1038	100769901	100770102	5.01e-12	78.8
NM_001052790.2	Chr06	71.774	124	29	3	837	957	2401084	2400964	4.69e-06	59.0
NM_001052790.2	Chr06	67.279	272	74	10	281	546	36787336	36787598	4.69e-06	59.0
NM_001052790.2	Chr02	75.000	120	30	0	842	961	15598508	15598627	4.11e-13	82.4
NM_001052790.2	Chr01	75.000	120	30	0	842	961	17642344	17642463	4.11e-13	82.4
NM_001052790.2	Chr16	70.370	135	40	0	908	1042	48250611	48250477	1.10e-07	64.4
NM_001052790.2	Chr17	69.630	135	41	0	908	1042	34300975	34300841	4.69e-06	59.0
