Pavir.Aa02848.1	CM009608.1	69.900	299	87	3	122	418	28151125	28150828	9.00e-26	123
Pavir.Ab00639.1	CM009608.1	71.384	318	88	3	237	552	28151145	28150829	4.62e-34	152
NM_001052790.2	CM009608.1	71.473	319	79	9	261	574	28151125	28150814	2.12e-29	136
NM_001052790.2	CM009608.1	68.750	192	60	0	848	1039	28150540	28150349	1.74e-11	77.0
NM_001052790.2	PUID01069131.1	75.000	120	30	0	842	961	15214	15095	4.10e-13	82.4
NM_001052790.2	CM009592.1	75.000	120	30	0	842	961	6812775	6812894	4.10e-13	82.4
NM_001052790.2	CM009592.1	75.000	120	30	0	842	961	6824795	6824914	4.10e-13	82.4
NM_001052790.2	PUID01032749.1	69.189	185	57	0	858	1042	73057	73241	1.74e-11	77.0
NM_001052790.2	CM009609.1	68.722	227	62	5	847	1070	9920885	9920665	6.08e-11	75.2
NM_001052790.2	PUID01035039.1	68.116	207	59	3	834	1038	24297	24096	2.58e-09	69.8
NM_001052790.2	PUID01032965.1	70.370	135	40	0	908	1042	5346	5212	1.10e-07	64.4
